size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
4,"7,8,13,14","(1.500,1.000);(2.000,1.000);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.12500,0.12500",159.72823420850645,1.75,1.5,1.25
4,"5,6,11,12","(2.000,0.500);(2.500,0.500);(2.000,1.500);(2.500,1.500)","0.25000,0.18800,0.25000,0.12500",159.72823420850648,2.25,1.0,1.25
4,"4,6,7,11","(1.500,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.500)","0.12500,0.18800,0.18800,0.25000",160.56465425421686,1.875,0.875,1.375
4,"5,7,10,12","(2.000,0.500);(1.500,1.000);(1.500,1.500);(2.500,1.500)","0.25000,0.18800,0.12500,0.12500",160.56465425421686,1.875,1.125,1.375
4,"6,7,10,11","(2.500,0.500);(1.500,1.000);(1.500,1.500);(2.000,1.500)","0.18800,0.18800,0.12500,0.25000",160.56465425421686,1.875,1.125,1.375
4,"7,11,13,15","(1.500,1.000);(2.000,1.500);(1.500,2.000);(2.500,2.000)","0.18800,0.25000,0.12500,0.18800",160.56465425421686,1.875,1.625,1.375
4,"7,12,13,14","(1.500,1.000);(2.500,1.500);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.12500,0.12500",160.56465425421686,1.875,1.625,1.375
4,"8,10,13,15","(2.000,1.000);(1.500,1.500);(1.500,2.000);(2.500,2.000)","0.12500,0.12500,0.12500,0.18800",160.56465425421686,1.875,1.625,1.375
4,"1,4,6,9","(1.500,0.000);(1.500,0.500);(2.500,0.500);(2.500,1.000)","0.18800,0.12500,0.18800,0.12500",160.64962433129625,2.0,0.5,1.5
4,"3,4,6,7","(2.500,0.000);(1.500,0.500);(2.500,0.500);(1.500,1.000)","0.18800,0.12500,0.18800,0.18800",160.64962433129625,2.0,0.5,1.5
4,"7,10,12,15","(1.500,1.000);(1.500,1.500);(2.500,1.500);(2.500,2.000)","0.18800,0.12500,0.12500,0.18800",160.64962433129625,2.0,1.5,1.5
4,"1,5,8,12","(1.500,0.000);(2.000,0.500);(2.000,1.000);(2.500,1.500)","0.18800,0.25000,0.12500,0.12500",160.86682858709983,2.0,0.75,1.75
4,"2,4,8,12","(2.000,0.000);(1.500,0.500);(2.000,1.000);(2.500,1.500)","0.12500,0.12500,0.12500,0.12500",160.86682858709986,2.0,0.75,1.75
4,"2,5,7,12","(2.000,0.000);(2.000,0.500);(1.500,1.000);(2.500,1.500)","0.12500,0.25000,0.18800,0.12500",160.86682858709986,2.0,0.75,1.75
4,"1,5,8,13","(1.500,0.000);(2.000,0.500);(2.000,1.000);(1.500,2.000)","0.18800,0.25000,0.12500,0.12500",160.98060104935794,1.75,0.875,2.4375
4,"2,4,8,13","(2.000,0.000);(1.500,0.500);(2.000,1.000);(1.500,2.000)","0.12500,0.12500,0.12500,0.12500",160.98060104935794,1.75,0.875,2.4375
4,"2,5,7,13","(2.000,0.000);(2.000,0.500);(1.500,1.000);(1.500,2.000)","0.12500,0.25000,0.18800,0.12500",160.98060104935794,1.75,0.875,2.4375
