size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
5,"2,4,6,7,15","(2.000,0.000);(1.500,0.500);(2.500,0.500);(1.500,1.000);(2.500,2.000)","0.12500,0.12500,0.18800,0.18800,0.18800",275.31777158281943,2.0,0.8,3.3000000000000003
5,"3,4,5,7,15","(2.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.500,2.000)","0.18800,0.12500,0.25000,0.18800,0.18800",275.31777158281943,2.0,0.8,3.3000000000000003
5,"3,7,10,11,15","(2.500,0.000);(1.500,1.000);(1.500,1.500);(2.000,1.500);(2.500,2.000)","0.18800,0.18800,0.12500,0.25000,0.18800",275.31777158281943,2.0,1.2,3.3000000000000003
5,"3,7,10,12,14","(2.500,0.000);(1.500,1.000);(1.500,1.500);(2.500,1.500);(2.000,2.000)","0.18800,0.18800,0.12500,0.12500,0.12500",275.31777158281943,2.0,1.2,3.3000000000000003
5,"1,4,7,10,12","(1.500,0.000);(1.500,0.500);(1.500,1.000);(1.500,1.500);(2.500,1.500)","0.18800,0.12500,0.18800,0.12500,0.12500",275.9441305994705,1.7,0.9,2.5
5,"1,2,10,11,13","(1.500,0.000);(2.000,0.000);(1.500,1.500);(2.000,1.500);(1.500,2.000)","0.18800,0.12500,0.12500,0.25000,0.12500",276.3648602192983,1.7,1.0,3.8000000000000003
5,"1,4,5,13,14","(1.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.25000,0.12500,0.12500",276.3648602192983,1.7,1.0,3.8000000000000003
5,"1,6,9,11,12","(1.500,0.000);(2.500,0.500);(2.500,1.000);(2.000,1.500);(2.500,1.500)","0.18800,0.18800,0.12500,0.25000,0.12500",276.8790089317746,2.2,0.9,2.5
5,"3,6,7,11,12","(2.500,0.000);(2.500,0.500);(1.500,1.000);(2.000,1.500);(2.500,1.500)","0.18800,0.18800,0.18800,0.25000,0.12500",276.8790089317746,2.2,0.9,2.5
5,"1,5,11,13,14","(1.500,0.000);(2.000,0.500);(2.000,1.500);(1.500,2.000);(2.000,2.000)","0.18800,0.25000,0.25000,0.12500,0.12500",277.06516586179873,1.8,1.2,3.6000000000000005
