size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
7,"1,3,4,5,7,8,10","(1.500,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.000,1.000);(1.500,1.500)","0.18800,0.18800,0.12500,0.25000,0.18800,0.12500,0.12500",230.49794480128537,1.7857142857142858,0.6428571428571429,2.7857142857142856
7,"4,5,7,9,10,11,13","(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.500,1.000);(1.500,1.500);(2.000,1.500);(1.500,2.000)","0.12500,0.25000,0.18800,0.12500,0.12500,0.25000,0.12500",230.49794480128537,1.7857142857142858,1.1428571428571428,2.785714285714286
7,"4,7,8,10,12,13,14","(1.500,0.500);(1.500,1.000);(2.000,1.000);(1.500,1.500);(2.500,1.500);(1.500,2.000);(2.000,2.000)","0.12500,0.18800,0.12500,0.12500,0.12500,0.12500,0.12500",230.49794480128537,1.7857142857142858,1.3571428571428572,2.785714285714286
7,"3,6,7,9,10,11,12","(2.500,0.000);(2.500,0.500);(1.500,1.000);(2.500,1.000);(1.500,1.500);(2.000,1.500);(2.500,1.500)","0.18800,0.18800,0.18800,0.12500,0.12500,0.25000,0.12500",230.58264459276867,2.142857142857143,1.0,3.357142857142857
7,"4,5,6,7,9,12,15","(1.500,0.500);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.500,1.000);(2.500,1.500);(2.500,2.000)","0.12500,0.25000,0.18800,0.18800,0.12500,0.12500,0.18800",230.58264459276867,2.142857142857143,1.0,3.357142857142857
7,"6,9,10,12,13,14,15","(2.500,0.500);(2.500,1.000);(1.500,1.500);(2.500,1.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.12500,0.12500,0.18800",230.58264459276867,2.142857142857143,1.5,3.357142857142857
7,"1,2,3,5,9,12,13","(1.500,0.000);(2.000,0.000);(2.500,0.000);(2.000,0.500);(2.500,1.000);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.18800,0.25000,0.12500,0.12500,0.12500",230.7411000761625,2.0714285714285716,0.7142857142857143,5.142857142857142
7,"1,2,3,6,8,12,13","(1.500,0.000);(2.000,0.000);(2.500,0.000);(2.500,0.500);(2.000,1.000);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.18800,0.18800,0.12500,0.12500,0.12500",230.7411000761625,2.0714285714285716,0.7142857142857143,5.142857142857142
7,"1,2,3,6,9,11,13","(1.500,0.000);(2.000,0.000);(2.500,0.000);(2.500,0.500);(2.500,1.000);(2.000,1.500);(1.500,2.000)","0.18800,0.12500,0.18800,0.18800,0.12500,0.25000,0.12500",230.7411000761625,2.0714285714285716,0.7142857142857143,5.142857142857142
7,"5,6,7,8,9,11,12","(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.000,1.500);(2.500,1.500)","0.25000,0.18800,0.18800,0.12500,0.12500,0.25000,0.12500",231.30723650255464,2.142857142857143,1.0,1.8571428571428572
